state,commodity_group,commodity,price_date,price,source_date,price_type
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-03-31,1843.65,2026-04-02,Actual
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-03-30,1848.35,2026-04-02,Actual
Madhya Pradesh,Cereals,Barley(Jau),2026-03-31,2192.78,2026-04-02,Actual
Madhya Pradesh,Cereals,Barley(Jau),2026-03-30,2162.73,2026-04-02,Actual
Madhya Pradesh,Cereals,Barley(Jau),2026-03-29,2199.96,2026-04-02,Actual
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-03-30,3095.0,2026-04-02,Actual
Madhya Pradesh,Cereals,Maize,2026-03-31,1653.32,2026-04-02,Actual
Madhya Pradesh,Cereals,Maize,2026-03-30,1637.23,2026-04-02,Actual
Madhya Pradesh,Cereals,Maize,2026-03-29,1622.13,2026-04-02,Actual
Madhya Pradesh,Cereals,Paddy(Common),2026-03-31,3688.73,2026-04-02,Actual
Madhya Pradesh,Cereals,Paddy(Common),2026-03-30,3701.01,2026-04-02,Actual
Madhya Pradesh,Cereals,Paddy(Common),2026-03-29,3554.65,2026-04-02,Actual
Madhya Pradesh,Cereals,Wheat,2026-03-31,2300.96,2026-04-02,Actual
Madhya Pradesh,Cereals,Wheat,2026-03-30,2314.68,2026-04-02,Actual
Madhya Pradesh,Cereals,Wheat,2026-03-29,2261.87,2026-04-02,Actual
Madhya Pradesh,Fibre Crops,Cotton,2026-03-31,7717.77,2026-04-02,Actual
Madhya Pradesh,Fibre Crops,Cotton,2026-03-30,7632.28,2026-04-02,Actual
Madhya Pradesh,Fibre Crops,Cotton,2026-03-29,7460.98,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Groundnut,2026-03-31,7666.67,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Groundnut,2026-03-30,8321.1,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Groundnut,2026-03-29,6575.52,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Mustard,2026-03-31,6776.65,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Mustard,2026-03-30,6792.82,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Mustard,2026-03-29,6637.14,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-03-31,8500.0,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Soyabean,2026-03-31,5255.88,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Soyabean,2026-03-30,5125.11,2026-04-02,Actual
Madhya Pradesh,Oil Seeds,Soyabean,2026-03-29,5166.1,2026-04-02,Actual
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-31,7545.25,2026-04-02,Actual
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-30,7559.5,2026-04-02,Actual
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-29,7380.91,2026-04-02,Actual
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-03-31,5582.17,2026-04-02,Actual
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-03-30,5336.62,2026-04-02,Actual
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-03-29,5120.23,2026-04-02,Actual
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-03-31,8292.45,2026-04-02,Actual
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-03-30,7519.84,2026-04-02,Actual
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-03-29,7498.46,2026-04-02,Actual
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-03-31,7273.56,2026-04-02,Actual
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-03-30,6915.59,2026-04-02,Actual
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-03-31,6657.77,2026-04-02,Actual
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-03-30,6172.44,2026-04-02,Actual
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-03-29,6764.68,2026-04-02,Actual
Madhya Pradesh,Vegetables,Onion,2026-03-31,770.58,2026-04-02,Actual
Madhya Pradesh,Vegetables,Onion,2026-03-30,1139.16,2026-04-02,Actual
Madhya Pradesh,Vegetables,Onion,2026-03-29,842.9,2026-04-02,Actual
Madhya Pradesh,Vegetables,Potato,2026-03-31,580.0,2026-04-02,Actual
Madhya Pradesh,Vegetables,Potato,2026-03-30,899.83,2026-04-02,Actual
Madhya Pradesh,Vegetables,Potato,2026-03-29,530.3,2026-04-02,Actual
Madhya Pradesh,Vegetables,Tomato,2026-03-31,743.45,2026-04-02,Actual
Madhya Pradesh,Vegetables,Tomato,2026-03-30,621.28,2026-04-02,Actual
Madhya Pradesh,Vegetables,Tomato,2026-03-29,726.13,2026-04-02,Actual
