state,commodity_group,commodity,price_date,price,source_date,price_type
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-03-28,1736.85,2026-03-31,Actual
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-03-27,1837.32,2026-03-31,Actual
Madhya Pradesh,Cereals,Barley(Jau),2026-03-29,2199.96,2026-03-31,Actual
Madhya Pradesh,Cereals,Barley(Jau),2026-03-28,2294.69,2026-03-31,Actual
Madhya Pradesh,Cereals,Barley(Jau),2026-03-27,2190.52,2026-03-31,Actual
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-03-27,3900.0,2026-03-31,Actual
Madhya Pradesh,Cereals,Maize,2026-03-29,1622.13,2026-03-31,Actual
Madhya Pradesh,Cereals,Maize,2026-03-28,1649.09,2026-03-31,Actual
Madhya Pradesh,Cereals,Maize,2026-03-27,1619.98,2026-03-31,Actual
Madhya Pradesh,Cereals,Paddy(Common),2026-03-29,3554.65,2026-03-31,Actual
Madhya Pradesh,Cereals,Paddy(Common),2026-03-28,3772.7,2026-03-31,Actual
Madhya Pradesh,Cereals,Paddy(Common),2026-03-27,4022.58,2026-03-31,Actual
Madhya Pradesh,Cereals,Wheat,2026-03-29,2261.87,2026-03-31,Actual
Madhya Pradesh,Cereals,Wheat,2026-03-28,2325.34,2026-03-31,Actual
Madhya Pradesh,Cereals,Wheat,2026-03-27,2331.25,2026-03-31,Actual
Madhya Pradesh,Fibre Crops,Cotton,2026-03-29,7460.98,2026-03-31,Actual
Madhya Pradesh,Fibre Crops,Cotton,2026-03-28,7777.68,2026-03-31,Actual
Madhya Pradesh,Fibre Crops,Cotton,2026-03-27,7588.41,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Groundnut,2026-03-29,6575.52,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Groundnut,2026-03-28,8211.83,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Groundnut,2026-03-27,9793.62,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Mustard,2026-03-29,6637.14,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Mustard,2026-03-28,6587.91,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Mustard,2026-03-27,6789.2,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-03-28,10500.0,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-03-28,10200.0,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-03-27,10580.0,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Soyabean,2026-03-29,5166.1,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Soyabean,2026-03-28,5298.07,2026-03-31,Actual
Madhya Pradesh,Oil Seeds,Soyabean,2026-03-27,5326.38,2026-03-31,Actual
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-29,7380.91,2026-03-31,Actual
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-28,7352.72,2026-03-31,Actual
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-03-27,7458.62,2026-03-31,Actual
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-03-29,5120.23,2026-03-31,Actual
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-03-28,5375.02,2026-03-31,Actual
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-03-27,5249.7,2026-03-31,Actual
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-03-29,7498.46,2026-03-31,Actual
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-03-28,8091.37,2026-03-31,Actual
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-03-27,8096.56,2026-03-31,Actual
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-03-28,6803.84,2026-03-31,Actual
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-03-27,11291.47,2026-03-31,Actual
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-03-29,6764.68,2026-03-31,Actual
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-03-28,6283.23,2026-03-31,Actual
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-03-27,6019.24,2026-03-31,Actual
Madhya Pradesh,Vegetables,Onion,2026-03-29,842.9,2026-03-31,Actual
Madhya Pradesh,Vegetables,Onion,2026-03-28,1027.33,2026-03-31,Actual
Madhya Pradesh,Vegetables,Onion,2026-03-27,852.25,2026-03-31,Actual
Madhya Pradesh,Vegetables,Potato,2026-03-29,530.3,2026-03-31,Actual
Madhya Pradesh,Vegetables,Potato,2026-03-28,1003.08,2026-03-31,Actual
Madhya Pradesh,Vegetables,Potato,2026-03-27,477.74,2026-03-31,Actual
Madhya Pradesh,Vegetables,Tomato,2026-03-29,726.13,2026-03-31,Actual
Madhya Pradesh,Vegetables,Tomato,2026-03-28,684.95,2026-03-31,Actual
Madhya Pradesh,Vegetables,Tomato,2026-03-27,628.0,2026-03-31,Actual
