state,commodity_group,commodity,price_date,price,source_date
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,2790.77,2026-01-31
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-28,1917.98,2026-01-31
Madhya Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-27,1848.65,2026-01-31
Madhya Pradesh,Cereals,Barley(Jau),2026-01-29,2342.52,2026-01-31
Madhya Pradesh,Cereals,Barley(Jau),2026-01-28,2316.81,2026-01-31
Madhya Pradesh,Cereals,Barley(Jau),2026-01-27,2391.17,2026-01-31
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-29,5707.71,2026-01-31
Madhya Pradesh,Cereals,Jowar(Sorghum),2026-01-27,6580.0,2026-01-31
Madhya Pradesh,Cereals,Maize,2026-01-29,1541.8,2026-01-31
Madhya Pradesh,Cereals,Maize,2026-01-28,1558.05,2026-01-31
Madhya Pradesh,Cereals,Maize,2026-01-27,1548.76,2026-01-31
Madhya Pradesh,Cereals,Paddy(Common),2026-01-29,3735.94,2026-01-31
Madhya Pradesh,Cereals,Paddy(Common),2026-01-28,3741.8,2026-01-31
Madhya Pradesh,Cereals,Paddy(Common),2026-01-27,3767.87,2026-01-31
Madhya Pradesh,Cereals,Wheat,2026-01-29,2505.99,2026-01-31
Madhya Pradesh,Cereals,Wheat,2026-01-28,2539.32,2026-01-31
Madhya Pradesh,Cereals,Wheat,2026-01-27,2529.62,2026-01-31
Madhya Pradesh,Fibre Crops,Cotton,2026-01-29,7609.07,2026-01-31
Madhya Pradesh,Fibre Crops,Cotton,2026-01-28,7590.91,2026-01-31
Madhya Pradesh,Fibre Crops,Cotton,2026-01-27,7658.17,2026-01-31
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-29,7054.49,2026-01-31
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-28,6201.89,2026-01-31
Madhya Pradesh,Oil Seeds,Groundnut,2026-01-27,6363.89,2026-01-31
Madhya Pradesh,Oil Seeds,Mustard,2026-01-29,6288.25,2026-01-31
Madhya Pradesh,Oil Seeds,Mustard,2026-01-28,6493.71,2026-01-31
Madhya Pradesh,Oil Seeds,Mustard,2026-01-27,6283.9,2026-01-31
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-29,9250.0,2026-01-31
Madhya Pradesh,Oil Seeds,Niger Seed(Ramtil),2026-01-27,9600.0,2026-01-31
Madhya Pradesh,Oil Seeds,Safflower,2026-01-28,3245.0,2026-01-31
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,8018.22,2026-01-31
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-28,8641.47,2026-01-31
Madhya Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-27,8009.16,2026-01-31
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-29,5640.95,2026-01-31
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-28,5534.33,2026-01-31
Madhya Pradesh,Oil Seeds,Soyabean,2026-01-27,5448.02,2026-01-31
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-29,7657.1,2026-01-31
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-28,7704.95,2026-01-31
Madhya Pradesh,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-27,7123.33,2026-01-31
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,5516.82,2026-01-31
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-28,5557.72,2026-01-31
Madhya Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-27,5522.37,2026-01-31
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,7862.74,2026-01-31
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-28,7644.65,2026-01-31
Madhya Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-27,7814.13,2026-01-31
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-29,6964.94,2026-01-31
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-28,7511.9,2026-01-31
Madhya Pradesh,Pulses,Green Gram(Moong)(Whole),2026-01-27,7745.27,2026-01-31
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-29,6360.53,2026-01-31
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-28,5810.66,2026-01-31
Madhya Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-27,5872.47,2026-01-31
Madhya Pradesh,Vegetables,Onion,2026-01-29,1158.0,2026-01-31
Madhya Pradesh,Vegetables,Onion,2026-01-28,1097.97,2026-01-31
Madhya Pradesh,Vegetables,Onion,2026-01-27,1244.87,2026-01-31
Madhya Pradesh,Vegetables,Potato,2026-01-29,1085.21,2026-01-31
Madhya Pradesh,Vegetables,Potato,2026-01-28,871.1,2026-01-31
Madhya Pradesh,Vegetables,Potato,2026-01-27,1011.24,2026-01-31
Madhya Pradesh,Vegetables,Tomato,2026-01-28,1800.0,2026-01-31
Madhya Pradesh,Vegetables,Tomato,2026-01-27,1400.0,2026-01-31
