state,commodity_group,commodity,price_date,price,source_date,price_type
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-31,1981.88,2026-02-02,Actual
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-30,2616.11,2026-02-02,Actual
Uttar Pradesh,Cereals,Bajra(Pearl Millet/Cumbu),2026-01-29,2248.18,2026-02-02,Actual
Uttar Pradesh,Cereals,Barley(Jau),2026-01-31,2320.0,2026-02-02,Actual
Uttar Pradesh,Cereals,Barley(Jau),2026-01-30,2291.67,2026-02-02,Actual
Uttar Pradesh,Cereals,Barley(Jau),2026-01-29,2261.52,2026-02-02,Actual
Uttar Pradesh,Cereals,Jowar(Sorghum),2026-01-31,6500.0,2026-02-02,Actual
Uttar Pradesh,Cereals,Jowar(Sorghum),2026-01-30,6545.48,2026-02-02,Actual
Uttar Pradesh,Cereals,Maize,2026-01-31,1980.25,2026-02-02,Actual
Uttar Pradesh,Cereals,Maize,2026-01-30,2271.09,2026-02-02,Actual
Uttar Pradesh,Cereals,Maize,2026-01-29,2212.74,2026-02-02,Actual
Uttar Pradesh,Cereals,Paddy(Common),2026-01-31,2317.25,2026-02-02,Actual
Uttar Pradesh,Cereals,Paddy(Common),2026-01-30,2395.11,2026-02-02,Actual
Uttar Pradesh,Cereals,Paddy(Common),2026-01-29,2331.15,2026-02-02,Actual
Uttar Pradesh,Cereals,Wheat,2026-01-31,2467.72,2026-02-02,Actual
Uttar Pradesh,Cereals,Wheat,2026-01-30,2487.06,2026-02-02,Actual
Uttar Pradesh,Cereals,Wheat,2026-01-29,2493.88,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-31,6570.21,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-30,7069.37,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,Groundnut,2026-01-29,7337.27,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,Mustard,2026-01-31,6847.2,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,Mustard,2026-01-30,6622.25,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,Mustard,2026-01-29,6128.63,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-31,9050.0,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-30,9100.0,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-01-29,9150.0,2026-02-02,Actual
Uttar Pradesh,Oil Seeds,Soyabean,2026-01-29,5200.0,2026-02-02,Actual
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-31,5560.47,2026-02-02,Actual
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,6414.04,2026-02-02,Actual
Uttar Pradesh,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,5587.79,2026-02-02,Actual
Uttar Pradesh,Pulses,Black Gram(Urd Beans)(Whole),2026-01-29,7200.0,2026-02-02,Actual
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-31,5738.08,2026-02-02,Actual
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-30,5848.0,2026-02-02,Actual
Uttar Pradesh,Pulses,Lentil(Masur)(Whole),2026-01-29,5736.96,2026-02-02,Actual
Uttar Pradesh,Vegetables,Onion,2026-01-31,1487.97,2026-02-02,Actual
Uttar Pradesh,Vegetables,Onion,2026-01-30,1535.13,2026-02-02,Actual
Uttar Pradesh,Vegetables,Onion,2026-01-29,1489.53,2026-02-02,Actual
Uttar Pradesh,Vegetables,Potato,2026-01-31,526.77,2026-02-02,Actual
Uttar Pradesh,Vegetables,Potato,2026-01-30,578.12,2026-02-02,Actual
Uttar Pradesh,Vegetables,Potato,2026-01-29,588.88,2026-02-02,Actual
Uttar Pradesh,Vegetables,Tomato,2026-01-31,1406.97,2026-02-02,Actual
Uttar Pradesh,Vegetables,Tomato,2026-01-30,1473.69,2026-02-02,Actual
Uttar Pradesh,Vegetables,Tomato,2026-01-29,1528.1,2026-02-02,Actual
