,,,,Marketwise Price & Arrival Report (11-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 11 Mar, 2026","Price on 10 Mar, 2026","Price on 09 Mar, 2026","Arrival on 11 Mar, 2026","Arrival on 10 Mar, 2026","Arrival on 09 Mar, 2026"
Cereals,Maize,2400.00,-,1600.00,-,-,1.00,-
Cereals,Paddy(Common),2369.00,-,2100.00,-,-,1.00,-
Oil Seeds,Mustard,6200.00,-,6200.00,-,-,1.50,-
Pulses,Lentil(Masur)(Whole),7000.00,9306.08,9410.57,9402.40,222.00,227.00,167.00
Vegetables,Onion,-,1971.23,2053.99,2086.73,146.00,163.00,226.00
Vegetables,Potato,-,1031.73,1100.69,1063.08,197.00,216.00,334.50
Vegetables,Tomato,-,2159.18,2321.21,2075.46,49.00,49.50,76.60

