state,commodity,model,rmse,mae,mape,confidence,train_points
Maharashtra,Arhar(Tur/Red Gram)(Whole),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Bajra(Pearl Millet/Cumbu),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Bengal Gram(Gram)(Whole),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Black Gram(Urd Beans)(Whole),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Cotton,hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Green Gram(Moong)(Whole),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Groundnut,fallback_copy,0.0,0.0,0.0,LOW,1
Maharashtra,Jowar(Sorghum),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Lentil(Masur)(Whole),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Maize,hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Mustard,hybrid_ma,0.0,0.0,0.0,LOW,2
Maharashtra,Paddy(Common),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Ragi(Finger Millet),hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Safflower,hybrid_ma,0.0,0.0,0.0,LOW,2
Maharashtra,"Sesamum(Sesame,Gingelly,Til)",hybrid_ma,0.0,0.0,0.0,LOW,2
Maharashtra,Soyabean,hybrid_trend,0.0,0.0,0.0,LOW,3
Maharashtra,Wheat,hybrid_trend,0.0,0.0,0.0,LOW,3
