state,commodity_group,commodity,price_date,price,source_date,price_type
Karnataka,Cereals,Maize,2026-01-30,1753.0,2026-02-02,Actual
Karnataka,Cereals,Paddy(Common),2026-01-31,2616.0,2026-02-02,Actual
Karnataka,Cereals,Paddy(Common),2026-01-30,2812.0,2026-02-02,Actual
Karnataka,Cereals,Paddy(Common),2026-01-29,2621.0,2026-02-02,Actual
Karnataka,Fibre Crops,Cotton,2026-01-31,7734.0,2026-02-02,Actual
Karnataka,Fibre Crops,Cotton,2026-01-30,7542.4,2026-02-02,Actual
Karnataka,Fibre Crops,Cotton,2026-01-29,8100.0,2026-02-02,Actual
Karnataka,Oil Seeds,Groundnut,2026-01-31,7239.0,2026-02-02,Actual
Karnataka,Oil Seeds,Groundnut,2026-01-30,8636.0,2026-02-02,Actual
Karnataka,Oil Seeds,Groundnut,2026-01-29,11305.0,2026-02-02,Actual
Karnataka,Oil Seeds,Soyabean,2026-01-29,5225.0,2026-02-02,Actual
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-31,8537.82,2026-02-02,Actual
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-30,8715.8,2026-02-02,Actual
Karnataka,Pulses,Arhar(Tur/Red Gram)(Whole),2026-01-29,8787.93,2026-02-02,Actual
Karnataka,Pulses,Bengal Gram(Gram)(Whole),2026-01-31,5550.0,2026-02-02,Actual
Karnataka,Pulses,Bengal Gram(Gram)(Whole),2026-01-30,5355.0,2026-02-02,Actual
Karnataka,Pulses,Bengal Gram(Gram)(Whole),2026-01-29,5506.0,2026-02-02,Actual
