state,commodity_group,commodity,price_date,price,source_date,price_type
West Bengal,Cereals,Maize,2026-02-23,2265.0,2026-02-25,Actual
West Bengal,Cereals,Maize,2026-02-22,2275.0,2026-02-25,Actual
West Bengal,Cereals,Paddy(Common),2026-02-23,2346.01,2026-02-25,Actual
West Bengal,Cereals,Paddy(Common),2026-02-22,2291.81,2026-02-25,Actual
West Bengal,Cereals,Paddy(Common),2026-02-21,2389.16,2026-02-25,Actual
West Bengal,Cereals,Wheat,2026-02-23,2589.97,2026-02-25,Actual
West Bengal,Cereals,Wheat,2026-02-22,2618.51,2026-02-25,Actual
West Bengal,Cereals,Wheat,2026-02-21,2723.45,2026-02-25,Actual
West Bengal,Oil Seeds,Mustard,2026-02-23,6727.75,2026-02-25,Actual
West Bengal,Oil Seeds,Mustard,2026-02-22,6709.16,2026-02-25,Actual
West Bengal,Oil Seeds,Mustard,2026-02-21,6369.59,2026-02-25,Actual
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-23,6749.32,2026-02-25,Actual
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-22,6769.86,2026-02-25,Actual
West Bengal,Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",2026-02-21,6700.0,2026-02-25,Actual
West Bengal,Vegetables,Onion,2026-02-23,1867.95,2026-02-25,Actual
West Bengal,Vegetables,Onion,2026-02-22,1741.15,2026-02-25,Actual
West Bengal,Vegetables,Onion,2026-02-21,1796.22,2026-02-25,Actual
West Bengal,Vegetables,Potato,2026-02-23,873.15,2026-02-25,Actual
West Bengal,Vegetables,Potato,2026-02-22,842.13,2026-02-25,Actual
West Bengal,Vegetables,Potato,2026-02-21,862.86,2026-02-25,Actual
West Bengal,Vegetables,Tomato,2026-02-23,1837.38,2026-02-25,Actual
West Bengal,Vegetables,Tomato,2026-02-22,1685.61,2026-02-25,Actual
West Bengal,Vegetables,Tomato,2026-02-21,1701.05,2026-02-25,Actual
