state,commodity_group,commodity,source_date,price_date,price,is_predicted,model_used,confidence_score,predicted_date,predicted_price
Assam,Cereals,Paddy(Common),2026-01-30,2026-01-27,2050.0,False,,,,
Assam,Oil Seeds,Mustard,2026-01-30,2026-01-27,6500.0,False,,,,
Assam,Pulses,Lentil(Masur)(Whole),2026-01-30,2026-01-28,9150.46,False,,,,
Assam,Pulses,Lentil(Masur)(Whole),2026-01-30,2026-01-27,8831.82,False,,,,
Assam,Vegetables,Onion,2026-01-30,2026-01-28,2900.0,False,,,,
Assam,Vegetables,Onion,2026-01-30,2026-01-27,2786.24,False,,,,
Assam,Vegetables,Potato,2026-01-30,2026-01-28,1259.11,False,,,,
Assam,Vegetables,Potato,2026-01-30,2026-01-27,1269.65,False,,,,
Assam,Vegetables,Tomato,2026-01-30,2026-01-28,2805.46,False,,,,
Assam,Vegetables,Tomato,2026-01-30,2026-01-27,3025.18,False,,,,
Assam,,Lentil(Masur)(Whole),,,,True,HYBRID_MODEL,,2026-01-29,8901.23
Assam,,Lentil(Masur)(Whole),,,,True,HYBRID_MODEL,,2026-01-30,8991.14
Assam,,Lentil(Masur)(Whole),,,,True,HYBRID_MODEL,,2026-01-31,9081.05
Assam,,Mustard,,,,True,HYBRID_MODEL,,2026-01-28,6500.0
Assam,,Mustard,,,,True,HYBRID_MODEL,,2026-01-29,6500.0
Assam,,Mustard,,,,True,HYBRID_MODEL,,2026-01-30,6500.0
Assam,,Onion,,,,True,HYBRID_MODEL,,2026-01-29,2814.69
Assam,,Onion,,,,True,HYBRID_MODEL,,2026-01-30,2843.12
Assam,,Onion,,,,True,HYBRID_MODEL,,2026-01-31,2871.55
Assam,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-28,2050.0
Assam,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-29,2050.0
Assam,,Paddy(Common),,,,True,HYBRID_MODEL,,2026-01-30,2050.0
Assam,,Potato,,,,True,HYBRID_MODEL,,2026-01-29,1251.74
Assam,,Potato,,,,True,HYBRID_MODEL,,2026-01-30,1264.38
Assam,,Potato,,,,True,HYBRID_MODEL,,2026-01-31,1277.02
Assam,,Tomato,,,,True,HYBRID_MODEL,,2026-01-29,2886.17
Assam,,Tomato,,,,True,HYBRID_MODEL,,2026-01-30,2915.32
Assam,,Tomato,,,,True,HYBRID_MODEL,,2026-01-31,2944.47
