state,commodity_group,commodity,price_date,price,source_date,price_type
Punjab,Cereals,Wheat,2026-03-11,2570.0,2026-03-15,Actual
Punjab,Fibre Crops,Cotton,2026-03-13,7377.32,2026-03-15,Actual
Punjab,Fibre Crops,Cotton,2026-03-12,7090.71,2026-03-15,Actual
Punjab,Fibre Crops,Cotton,2026-03-11,7226.36,2026-03-15,Actual
Punjab,Oil Seeds,Mustard,2026-03-12,6794.0,2026-03-15,Actual
Punjab,Vegetables,Onion,2026-03-13,1216.27,2026-03-15,Actual
Punjab,Vegetables,Onion,2026-03-12,1181.48,2026-03-15,Actual
Punjab,Vegetables,Onion,2026-03-11,1210.51,2026-03-15,Actual
Punjab,Vegetables,Potato,2026-03-13,305.45,2026-03-15,Actual
Punjab,Vegetables,Potato,2026-03-12,349.94,2026-03-15,Actual
Punjab,Vegetables,Potato,2026-03-11,322.12,2026-03-15,Actual
Punjab,Vegetables,Tomato,2026-03-13,1247.94,2026-03-15,Actual
Punjab,Vegetables,Tomato,2026-03-12,1593.65,2026-03-15,Actual
Punjab,Vegetables,Tomato,2026-03-11,1614.72,2026-03-15,Actual
