state,commodity_group,commodity,price_date,price,source_date,price_type
Bihar,Cereals,Paddy(Common),2026-02-24,2370.0,2026-02-27,Actual
Bihar,Cereals,Paddy(Common),2026-02-23,2370.0,2026-02-27,Actual
Bihar,Cereals,Wheat,2026-02-25,2520.0,2026-02-27,Actual
Bihar,Cereals,Wheat,2026-02-24,2500.0,2026-02-27,Actual
Bihar,Cereals,Wheat,2026-02-23,2480.0,2026-02-27,Actual
Bihar,Vegetables,Onion,2026-02-25,2400.0,2026-02-27,Actual
Bihar,Vegetables,Onion,2026-02-24,2400.0,2026-02-27,Actual
Bihar,Vegetables,Onion,2026-02-23,2147.65,2026-02-27,Actual
Bihar,Vegetables,Potato,2026-02-25,943.6,2026-02-27,Actual
Bihar,Vegetables,Potato,2026-02-24,936.49,2026-02-27,Actual
Bihar,Vegetables,Potato,2026-02-23,964.3,2026-02-27,Actual
