state,commodity_group,commodity,price_date,price,source_date
Bihar,Cereals,Paddy(Common),2026-01-28,2370.0,2026-01-30
Bihar,Cereals,Paddy(Common),2026-01-27,2370.0,2026-01-30
Bihar,Cereals,Paddy(Common),2026-01-26,2370.0,2026-01-30
Bihar,Cereals,Wheat,2026-01-28,2640.0,2026-01-30
Bihar,Vegetables,Onion,2026-01-28,2800.0,2026-01-30
Bihar,Vegetables,Onion,2026-01-27,2440.0,2026-01-30
Bihar,Vegetables,Onion,2026-01-26,2700.0,2026-01-30
Bihar,Vegetables,Potato,2026-01-28,1279.2,2026-01-30
Bihar,Vegetables,Potato,2026-01-27,1222.61,2026-01-30
Bihar,Vegetables,Potato,2026-01-26,1199.56,2026-01-30
