,,,,Marketwise Price & Arrival Report (03-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Mar, 2026","Price on 02 Mar, 2026","Price on 01 Mar, 2026","Arrival on 03 Mar, 2026","Arrival on 02 Mar, 2026","Arrival on 01 Mar, 2026"
Cereals,Jowar(Sorghum),3699.00,-,4606.00,-,-,6.00,-
Cereals,Paddy(Common),2369.00,-,2769.00,-,-,21.00,-
Fibre Crops,Cotton,7710.00,-,7867.89,8000.00,-,593.00,9.50
Oil Seeds,Copra,12100.00,-,28000.00,28500.00,-,3.40,3.00
Oil Seeds,Groundnut,7263.00,-,9111.00,-,-,79.20,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7560.00,7744.97,6876.25,29.20,663.00,59.70
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,-,5000.00,-,-,3.70

