state,commodity_group,commodity,price_date,price,source_date,price_type
Assam,Pulses,Lentil(Masur)(Whole),2026-03-20,9239.78,2026-03-23,Actual
Assam,Pulses,Lentil(Masur)(Whole),2026-03-19,9236.99,2026-03-23,Actual
Assam,Vegetables,Onion,2026-03-21,1800.0,2026-03-23,Actual
Assam,Vegetables,Onion,2026-03-20,1663.92,2026-03-23,Actual
Assam,Vegetables,Onion,2026-03-19,1477.42,2026-03-23,Actual
Assam,Vegetables,Potato,2026-03-21,800.0,2026-03-23,Actual
Assam,Vegetables,Potato,2026-03-20,1095.63,2026-03-23,Actual
Assam,Vegetables,Potato,2026-03-19,1003.37,2026-03-23,Actual
Assam,Vegetables,Tomato,2026-03-21,1600.0,2026-03-23,Actual
Assam,Vegetables,Tomato,2026-03-20,1694.87,2026-03-23,Actual
Assam,Vegetables,Tomato,2026-03-19,1970.37,2026-03-23,Actual
