,,,,Marketwise Price & Arrival Report (24-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 24 Jan, 2026","Price on 23 Jan, 2026","Price on 22 Jan, 2026","Arrival on 24 Jan, 2026","Arrival on 23 Jan, 2026","Arrival on 22 Jan, 2026"
Oil Seeds,Copra,12100.00,19885.71,19775.86,19986.84,14.00,2.90,15.20
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,12100.00,11366.67,11433.33,1.00,3.00,3.00
Pulses,Bengal Gram(Gram)(Whole),5650.00,7850.00,7800.00,8200.00,2.00,1.00,2.00
Pulses,Black Gram(Urd Beans)(Whole),7800.00,11133.33,11700.00,11920.00,3.00,4.00,5.00
Pulses,Green Gram(Moong)(Whole),8768.00,11400.00,11950.00,11133.33,3.00,2.00,3.00
Vegetables,Onion,-,3829.20,3544.28,3461.90,451.78,376.58,399.08
Vegetables,Potato,-,3392.91,3496.91,3369.49,195.22,187.20,203.29
Vegetables,Tomato,-,3573.69,3283.77,3232.57,303.36,305.26,336.08

